id_franq,franquicia
252,Drunken Master Collection
253,The Dirty Dozen Collection
254,The Blue Lagoon Collection
255,Penitenciaría - Colección
256,Omega Code Series
257,Bats Collection
258,The Best Man Collection
259,Harry Palmer Collection
260,On Any Sunday Collection
261,House On Haunted Hill Collection
262,Re-Animator Collection
263,Creepshow Collection
264,Mister Roberts Collection
265,Meatballs Collection
266,Pokémon Collection
267,The Up Series
268,Deuce Bigalow Collection
269,The Last Picture Show Collection
270,The Sinbad Collection
271,Stuart Little Collection
272,Friday Collection
273,Batman (Dc Universe Animated) Collection
274,Sister Act Collection
275,Wayne'S World Collection
276,The Cutting Edge Collection
277,Single White Female Collection
278,The Boondock Saints Collection
279,"To Sir, With Love Collection"
280,The Chronicles Of Riddick Collection
281,The Whole Nine/Ten Yards Collection
282,Cross Of Iron Collection
283,American Graffiti Collection
284,Final Destination Collection
285,Death Wish Collection
286,Teenage Mutant Ninja Turtles (Original) Collection
287,The Skulls Collection
288,Navarone Collection
289,Beach Party Collection
290,Bachelor Party Collection
291,Predator Collection
292,American Psycho Collection
293,East Is East Collection
294,Caddyshack Collection
295,Carnosaur Collection
296,Hidden Collection
297,Die Nibelungen Filmreihe
298,Center Stage Collection
299,Pee-Wee'S Collection
300,Road Trip Collection
301,Shanghai Noon Collection
302,Big Momma'S House Collection
303,Quatermass (Hammer Series)
304,Puppet Master Collection
305,The Benji Collection
306,The Decline Of Western Civilization Collection
307,Dirty Harry Collection
308,Porky'S Collection
309,Nuke 'Em High Collection
310,The Toxic Avenger Collection
311,Alien Nation Collection
312,Mad Max Collection
313,9½ Weeks Collection
314,Firestarter Collection
315,Shaft Collection
316,F/X Collection
317,Missing In Action Collection
318,Nekromantik Collection
319,Scary Movie Collection
320,X-Men Collection
321,Hollow Man Collection
322,Pumpkinhead Collection
323,Sleepaway Camp Collection
324,"Ilsa, She Wolf Of The Ss Collection"
325,The Cell Collection
326,Godzilla (Millennium) Collection
327,The Art Of War Collection
328,Bring It On Collection
329,Anatomy Collection
330,The Fly (1958 Series)
331,Creature From The Black Lagoon (Universal Series)
332,The Slumber Party Massacre Collection
333,The Sorority House Massacre Collection
334,Digimon Collection
335,Meet The Parents Collection
336,Billy Jack Collection
337,Ghoulies Collection
338,Charlie'S Angels Collection
339,"Crouching Tiger, Hidden Dragon Collection"
340,Dungeons & Dragons Collection
341,Wall Street Collection
342,The Emperor'S New Groove Collection
343,Miss Congeniality Collection
