id_peli,id_pais
11860,2
1408,2
902,2
124626,2
63076,2
11907,2
16934,2
27793,2
48787,2
10149,2
5967,2
10452,2
28033,2
12635,2
41647,2
2259,2
11934,2
38884,2
398959,2
287305,2
339428,2
12652,2
68445,2
10801,2
278978,2
124625,2
11902,2
922,2
40651,2
21588,2
124633,2
49963,2
12632,2
9098,2
282919,2
18975,2
46986,2
159,2
10232,2
11015,2
43596,2
890,2
10586,2
44497,2
659,2
429,2
144,2
387,2
1554,2
339,2
655,2
10341,2
41801,2
96288,2
653,2
64900,2
1802,2
14832,2
203829,2
43775,2
28005,2
9311,2
816,2
9772,2
1813,2
34838,2
44361,2
47112,2
30949,2
9440,2
795,2
6264,2
38618,2
18316,2
312,2
9631,2
5961,2
11911,2
48894,2
12761,2
115872,2
34584,2
34636,2
26618,2
11365,2
9423,2
192,2
8129,2
9524,2
49981,2
12596,2
24858,2
55912,2
11779,2
2275,2
104,2
48781,2
91893,2
1075,2
11001,2
32305,2
8416,2
391,2
550,2
9343,2
8672,2
8056,2
2668,2
159569,2
2277,2
10137,2
3558,2
11900,2
17343,2
21489,2
10385,2
11004,2
10839,2
48213,2
46625,2
11027,2
31776,2
9456,2
452,2
5608,2
22501,2
955,2
11332,2
5483,2
9600,2
938,2
479,2
2024,2
17711,2
11822,2
12706,2
9383,2
20850,2
2211,2
8843,2
47434,2
1698,2
10480,2
16,2
10434,2
10687,2
6521,2
24100,2
8871,2
34045,2
16340,2
10876,2
25520,2
1900,2
47595,2
10499,2
37949,2
318,2
2749,2
17203,2
853,2
2043,2
68894,2
8076,2
39266,2
35717,2
37691,2
126881,2
9799,2
9301,2
34899,2
29471,2
9589,2
11371,2
3543,2
12774,2
1548,2
56162,2
27431,2
2779,2
8922,2
11370,2
5998,2
20857,2
48834,2
32567,2
9398,2
55372,2
27958,2
25641,2
11845,2
167,2
228,2
194,2
9523,2
12660,2
5279,2
35263,2
11710,2
27378,2
57976,2
11535,2
14778,2
11698,2
93427,2
10052,2
13791,2
10590,2
40723,2
3418,2
1576,2
73134,2
36586,2
9275,2
129542,2
35944,2
12149,2
35080,2
9334,2
35337,2
13201,2
32037,2
267345,2
2501,2
10394,2
15813,2
42254,2
8665,2
10309,2
6404,2
9962,2
9266,2
3640,2
12771,2
9544,2
23967,2
10550,2
9533,2
10575,2
9260,2
1809,2
10994,2
40064,2
11340,2
42142,2
35685,2
265,2
13440,2
41645,2
10167,2
672,2
2165,2
11629,2
5261,2
7011,2
10880,2
71524,2
4202,2
2149,2
4561,2
423,2
16225,2
12090,2
11222,2
1484,2
9045,2
92348,2
12490,2
10150,2
42135,2
2262,2
30363,2
11057,2
9919,2
4911,2
11615,2
1591,2
455,2
4762,2
8996,2
36211,2
9557,2
9341,2
8409,2
11516,2
10743,2
11458,2
22016,2
10989,2
10720,2
51230,2
5146,2
9902,2
39125,2
30529,2
24985,2
39088,2
216,2
296,2
8698,2
1996,2
9104,2
48791,2
30970,2
20815,2
178675,2
9616,2
31094,2
29507,2
277,2
7288,2
54243,2
5653,2
821,2
39916,2
1584,2
11059,2
9839,2
10922,2
10719,2
1277,2
10715,2
10147,2
9065,2
234,2
5765,2
2000,2
30140,2
42238,2
33517,2
27465,2
13505,2
91390,2
16784,2
8842,2
11132,2
338,2
47474,2
11169,2
4377,2
553,2
26636,2
7220,2
11141,2
4339,2
36670,2
781,2
16284,2
192936,2
876,2
1583,2
222,2
42090,2
5485,2
113,2
316,2
1786,2
35987,2
19128,2
67217,2
24190,2
47819,2
10573,2
41799,2
10204,2
9472,2
36561,2
36672,2
161080,2
10742,2
2048,2
2502,2
12206,2
39209,2
119623,2
52936,2
395,2
8080,2
31117,2
9759,2
1577,2
1653,2
1599,2
26108,2
3989,2
16358,2
11099,2
12483,2
10740,2
12777,2
11184,2
9801,2
1966,2
43670,2
2972,2
779,2
25253,2
3870,2
48205,2
42021,2
11513,2
2927,2
7975,2
41783,2
5051,2
83599,2
30366,2
32764,2
8983,2
37062,2
344,2
9943,2
3716,2
10205,2
110147,2
844,2
16171,2
49671,2
15024,2
2899,2
18088,2
81540,2
211,2
50467,2
35110,2
9298,2
4592,2
10918,2
36353,2
10077,2
4326,2
11774,2
363,2
11492,2
9667,2
5528,2
1114,2
179,2
1404,2
9483,2
4896,2
55309,2
6478,2
10630,2
18927,2
25350,2
12576,2
12127,2
11626,2
7214,2
11373,2
342,2
613,2
273,2
12142,2
661,2
10310,2
53200,2
55624,2
6317,2
41569,2
561,2
10214,2
10636,2
10012,2
2026,2
42837,2
1589,2
21666,2
48598,2
45694,2
158,2
47237,2
11431,2
37512,2
42637,2
41954,2
42611,2
54156,2
42260,2
36971,2
124083,2
43003,2
9393,2
1495,2
1640,2
133750,2
31414,2
43271,2
11628,2
4379,2
11019,2
9787,2
23825,2
56321,2
276,2
24703,2
2151,2
34308,2
11588,2
1696,2
10542,2
13919,2
9913,2
12147,2
445,2
9042,2
1985,2
1830,2
14759,2
61044,2
8814,2
1947,2
59,2
11627,2
56475,2
10475,2
1559,2
3527,2
56798,2
6963,2
1951,2
19354,2
25,2
11661,2
5620,2
10033,2
41764,2
28212,2
69,2
67,2
254,2
14695,2
56373,2
18840,2
55544,2
9044,2
2117,2
17,2
9286,2
1544,2
7304,2
2207,2
9756,2
9968,2
113479,2
752,2
9950,2
582,2
56935,2
186,2
8410,2
51311,2
3093,2
460,2
44947,2
20521,2
84954,2
55368,2
19126,2
17247,2
1557,2
956,2
31506,2
42512,2
9530,2
10115,2
13689,2
26116,2
1611,2
410,2
8008,2
10308,2
9520,2
47850,2
9727,2
82,2
84956,2
9907,2
42501,2
1023,2
22238,2
9708,2
1116,2
41508,2
5072,2
34068,2
9676,2
390,2
1595,2
9978,2
8332,2
86,2
1523,2
4285,2
78507,2
1427,2
8588,2
36557,2
1372,2
9986,2
33583,2
1646,2
7736,2
9053,2
5393,2
79767,2
2204,2
19166,2
11225,2
6166,2
12183,2
37952,2
10075,2
5206,2
13517,2
47200,2
3594,2
40394,2
11945,2
6443,2
9075,2
1590,2
1268,2
15008,2
10063,2
2241,2
1979,2
17035,2
1294,2
12713,2
16083,2
44502,2
14219,2
2503,2
1393,2
2701,2
4349,2
1845,2
13501,2
523,2
63607,2
10425,2
7737,2
14930,2
9773,2
1922,2
2014,2
39127,2
5817,2
4723,2
48267,2
13168,2
11476,2
111744,2
6076,2
2312,2
4170,2
81522,2
6933,2
7555,2
10834,2
11253,2
53094,2
7992,2
8390,2
90387,2
13460,2
8461,2
7862,2
12246,2
12177,2
11534,2
7797,2
8093,2
4942,2
25904,2
11152,2
7459,2
53196,2
13258,2
29291,2
6967,2
41648,2
87541,2
74349,2
20017,2
13405,2
23676,2
11631,2
428,2
36226,2
6687,2
1735,2
1661,2
2012,2
7446,2
8885,2
10483,2
5592,2
3041,2
54669,2
13027,2
76406,2
27361,2
13150,2
14325,2
8938,2
4627,2
15749,2
9999,2
10565,2
12224,2
13056,2
72495,2
1964,2
11127,2
13223,2
8055,2
8276,2
2253,2
317,2
2309,2
6733,2
214436,2
14549,2
10529,2
46595,2
4959,2
10184,2
16170,2
85394,2
30508,2
13639,2
434,2
14979,2
7916,2
16558,2
62437,2
6968,2
18947,2
16869,2
45882,2
33974,2
17436,2
13475,2
10946,2
534,2
14857,2
18785,2
17609,2
45560,2
8883,2
40465,2
8933,2
20152,2
4250,2
9592,2
19929,2
3478,2
22215,2
49691,2
67463,2
13752,2
99657,2
12605,2
128856,2
677,2
685,2
18568,2
8899,2
17153,2
15457,2
12410,2
37903,2
19898,2
21700,2
26763,2
48214,2
71041,2
47430,2
26191,2
44338,2
1697,2
70555,2
95600,2
24565,2
37060,2
7860,2
22832,2
71329,2
32543,2
58435,2
347,2
42836,2
89785,2
128846,2
36811,2
42206,2
114790,2
36117,2
20236,2
14173,2
101006,2
12161,2
41970,2
44027,2
31175,2
83430,2
2395,2
13522,2
8349,2
252407,2
7344,2
4887,2
51022,2
24253,2
11439,2
24424,2
16436,2
39931,2
33226,2
1912,2
18406,2
32084,2
10870,2
72272,2
10171,2
44513,2
18516,2
24757,2
14257,2
35217,2
12832,2
48636,2
33809,2
38780,2
34647,2
18530,2
91487,2
3037,2
31011,2
31262,2
41483,2
5465,2
55971,2
3476,2
9503,2
1914,2
33682,2
55562,2
55648,2
28938,2
35791,2
8886,2
138522,2
706,2
18178,2
9639,2
11567,2
9577,2
10311,2
12482,2
37810,2
155445,2
4921,2
47792,2
55536,2
8316,2
41215,2
1782,2
54315,2
3007,2
59408,2
79591,2
41123,2
38368,2
72421,2
43434,2
49583,2
87415,2
93669,2
47979,2
52320,2
63290,2
49901,2
44441,2
10018,2
52587,2
48203,2
173288,2
62337,2
37866,2
8995,2
7210,2
55584,2
89126,2
79118,2
162234,2
1543,2
58772,2
1244,2
32319,2
39993,2
89704,2
471,2
27522,2
8417,2
126104,2
8418,2
48138,2
92332,2
33997,2
878,2
50725,2
16439,2
59490,2
58232,2
11406,2
8896,2
3397,2
41273,2
29043,2
50456,2
29920,2
57695,2
62215,2
26880,2
44159,2
9511,2
4880,2
28627,2
12588,2
35619,2
37041,2
46175,2
1115,2
54524,2
46804,2
24810,2
49853,2
56271,2
5937,2
57276,2
3962,2
142712,2
10420,2
79072,2
78400,2
1736,2
18888,2
289010,2
60302,2
177697,2
49594,2
42481,2
8888,2
230680,2
57389,2
51735,2
67404,2
191060,2
8462,2
47855,2
63849,2
51620,2
62206,2
50722,2
82688,2
9295,2
42973,2
172149,2
39845,2
407,2
73532,2
103475,2
35125,2
87063,2
72049,2
49517,2
48231,2
81401,2
105757,2
72419,2
129427,2
76853,2
73262,2
60981,2
172004,2
162451,2
126732,2
75969,2
52451,2
72113,2
140003,2
70670,2
61891,2
72494,2
28629,2
94336,2
77365,2
29932,2
11625,2
9369,2
62046,2
59457,2
15736,2
2349,2
72721,2
38541,2
31337,2
82321,2
56815,2
73686,2
80125,2
57400,2
51999,2
53174,2
79890,2
71672,2
214349,2
44246,2
41411,2
63493,2
99698,2
10679,2
73889,2
75778,2
42960,2
82327,2
75802,2
68752,2
13486,2
59835,2
78206,2
169747,2
45244,2
379689,2
148811,2
42226,2
131653,2
155288,2
84165,2
45945,2
75229,2
22059,2
80410,2
51365,2
97088,2
42152,2
35623,2
70808,2
71679,2
148857,2
74103,2
64454,2
88273,2
42203,2
70667,2
84284,2
55327,2
83542,2
149763,2
128158,2
86837,2
43652,2
13678,2
82708,2
88284,2
288290,2
116800,2
73283,2
86819,2
169836,2
71208,2
48742,2
85533,2
81634,2
60304,2
44450,2
93858,2
70793,2
121835,2
130750,2
85545,2
36096,2
130739,2
129112,2
133183,2
60534,2
92484,2
126250,2
78056,2
78432,2
130804,2
36229,2
20181,2
42587,2
88176,2
100224,2
128847,2
48227,2
458,2
70757,2
60152,2
166666,2
116811,2
121873,2
135317,2
160085,2
185562,2
137037,2
83342,2
109099,2
133339,2
23368,2
120393,2
160139,2
11144,2
24631,2
66608,2
50674,2
194126,2
96721,2
129734,2
121676,2
65481,2
97397,2
85889,2
29941,2
58166,2
124075,2
121565,2
243860,2
19039,2
203833,2
64534,2
110919,2
201749,2
39378,2
4839,2
64632,2
115023,2
8985,2
18619,2
59993,2
209232,2
103742,2
91551,2
85469,2
233063,2
130233,2
130694,2
117467,2
169881,2
8213,2
152603,2
191714,2
199177,2
107445,2
39516,2
240916,2
242661,2
28062,2
11188,2
21073,2
92647,2
19199,2
207769,2
12758,2
164328,2
152760,2
249397,2
103717,2
41109,2
141043,2
84362,2
122435,2
120467,2
86814,2
77458,2
48263,2
10574,2
196024,2
148044,2
8064,2
186971,2
394403,2
168399,2
42216,2
12685,2
5494,2
17456,2
68123,2
253239,2
208277,2
256561,2
94344,2
48591,2
199341,2
211059,2
76649,2
71721,2
272525,2
82529,2
10244,2
272543,2
131366,2
157851,2
1731,2
78463,2
102272,2
176403,2
267999,2
49104,2
206574,2
64627,2
79773,2
150897,2
157849,2
158219,2
46853,2
34469,2
136616,2
149893,2
57331,2
80705,2
164419,2
7983,2
265169,2
47517,2
240679,2
285692,2
2692,2
238561,2
212530,2
192145,2
79016,2
223632,2
215935,2
2195,2
8948,2
84857,2
117464,2
284427,2
267480,2
254375,2
118257,2
282376,2
250989,2
285025,2
41097,2
36523,2
141950,2
52475,2
12450,2
42903,2
178446,2
256311,2
130747,2
103686,2
52989,2
258070,2
35632,2
263915,2
20053,2
90652,2
240510,2
287495,2
270403,2
46217,2
60479,2
9742,2
284246,2
45127,2
17143,2
136459,2
293310,2
9510,2
83451,2
17925,2
237796,2
6110,2
204965,2
93114,2
35856,2
244458,2
99879,2
246860,2
190000,2
40130,2
98273,2
266044,2
24179,2
212503,2
129062,2
302118,2
266031,2
17806,2
135832,2
11752,2
33336,2
230222,2
31183,2
9076,2
56624,2
98612,2
269165,2
3483,2
15558,2
4344,2
3539,2
12115,2
73290,2
3686,2
161243,2
63039,2
7085,2
94228,2
42303,2
4529,2
4968,2
61462,2
65320,2
107073,2
68351,2
12427,2
72032,2
16652,2
216457,2
10639,2
78537,2
65482,2
51800,2
26497,2
104711,2
70422,2
61237,2
48522,2
64850,2
20220,2
269070,2
192588,2
287504,2
239030,2
12609,2
285463,2
12575,2
96574,2
257537,2
102691,2
257534,2
3485,2
254721,2
188765,2
256108,2
3480,2
5063,2
110390,2
126376,2
57438,2
36120,2
312152,2
302376,2
63432,2
83122,2
143747,2
64725,2
169343,2
6591,2
8014,2
265226,2
81684,2
311301,2
320007,2
323431,2
175503,2
259358,2
248933,2
118150,2
287391,2
37590,2
42153,2
83209,2
24633,2
84012,2
21775,2
28656,2
81189,2
228736,2
42590,2
54796,2
286873,2
37455,2
37858,2
6547,2
246127,2
118390,2
104935,2
50135,2
78124,2
125344,2
236314,2
88418,2
69576,2
175774,2
82448,2
230179,2
261375,2
38198,2
227975,2
246308,2
81475,2
169656,2
8371,2
165027,2
9527,2
79572,2
328032,2
259616,2
1269,2
1419,2
150056,2
11207,2
11651,2
204712,2
11179,2
79361,2
114438,2
78694,2
12128,2
10659,2
1615,2
1616,2
9497,2
2169,2
9337,2
6172,2
78313,2
9673,2
9514,2
9496,2
73770,2
10036,2
11664,2
9572,2
1915,2
254578,2
91628,2
9478,2
10470,2
9565,2
9677,2
4436,2
9274,2
9629,2
12601,2
151123,2
11677,2
10146,2
9803,2
29108,2
242575,2
330588,2
10370,2
274415,2
299353,2
12697,2
45873,2
332759,2
228381,2
290043,2
87503,2
269258,2
50849,2
3699,2
249070,2
174378,2
38911,2
85129,2
111173,2
50106,2
42156,2
77352,2
252596,2
147287,2
66082,2
127142,2
287483,2
322488,2
112355,2
58859,2
80136,2
81616,2
34449,2
245906,2
215646,2
159967,2
9288,2
78696,2
61035,2
334440,2
294483,2
304640,2
254007,2
109463,2
171769,2
108535,2
58404,2
59336,2
131634,2
42293,2
11055,2
55229,2
11218,2
20310,2
282502,2
293238,2
53774,2
27637,2
61594,2
74080,2
90029,2
4695,2
8557,2
253161,2
261103,2
206237,2
38918,2
217412,2
79838,2
16261,2
4645,2
42140,2
74666,2
6962,2
254472,2
248934,2
346490,2
81787,2
53914,2
98349,2
134018,2
12638,2
188758,2
49850,2
191820,2
62029,2
239417,2
172390,2
116997,2
12578,2
61638,2
214699,2
336804,2
4398,2
72589,2
326215,2
218688,2
207649,2
10270,2
318781,2
214348,2
159039,2
114189,2
283701,2
5871,2
296313,2
318042,2
49928,2
243233,2
157420,2
307293,2
319337,2
60850,2
75713,2
202839,2
296820,2
130624,2
179553,2
336251,2
270463,2
10492,2
344591,2
79721,2
91973,2
48856,2
319513,2
26847,2
11204,2
306819,2
126415,2
218974,2
154582,2
89625,2
261192,2
315335,2
81704,2
100243,2
150839,2
98027,2
77165,2
326723,2
17938,2
2004,2
2333,2
1539,2
11440,2
321228,2
19430,2
239619,2
15640,2
11142,2
329263,2
42032,2
285181,2
289191,2
10645,2
13305,2
459,2
6318,2
96717,2
336660,2
200325,2
117493,2
332749,2
144344,2
42093,2
42460,2
192236,2
250230,2
340488,2
46636,2
296098,2
4196,2
9643,2
170759,2
4955,2
2969,2
14847,2
318917,2
78115,2
122787,2
268212,2
206,2
329829,2
233639,2
45555,2
798,2
364781,2
48615,2
2734,2
291343,2
5484,2
262871,2
96368,2
133941,2
113255,2
36880,2
139945,2
79921,2
297023,2
8556,2
62871,2
254005,2
235044,2
167424,2
157827,2
73132,2
198511,2
4228,2
59349,2
199655,2
48333,2
227262,2
337012,2
51403,2
70747,2
257088,2
333696,2
203888,2
130754,2
