id_peli,genero
862,1
21032,1
10530,1
15789,1
43475,1
22586,1
8587,1
18242,1
9479,1
15139,1
812,1
408,1
11827,1
10112,1
19042,1
10539,1
2300,1
12233,1
40651,1
532,1
10545,1
18975,1
19004,1
81310,1
15947,1
9078,1
29682,1
11360,1
12335,1
10948,1
11238,1
531,1
530,1
149,1
756,1
3179,1
24662,1
9444,1
40688,1
18937,1
10674,1
3170,1
10957,1
9994,1
10340,1
10144,1
12230,1
11135,1
11319,1
15969,1
53565,1
123,1
11497,1
11837,1
11704,1
4978,1
10380,1
51942,1
8916,1
14444,1
9487,1
9837,1
16306,1
47288,1
16508,1
9473,1
10386,1
22611,1
10494,1
12105,1
28032,1
856,1
128,1
10228,1
863,1
10137,1
49948,1
14919,1
15655,1
18890,1
54825,1
10501,1
22501,1
14906,1
10567,1
22500,1
29204,1
7450,1
7443,1
17711,1
46929,1
20343,1
13757,1
12599,1
16110,1
20455,1
13465,1
16340,1
1857,1
11688,1
37949,1
19933,1
19405,1
23685,1
808,1
10865,1
2114,1
36107,1
58904,1
12144,1
12610,1
16767,1
9081,1
585,1
12589,1
18939,1
12593,1
14683,1
27273,1
15035,1
9606,1
16690,1
15999,1
13225,1
35614,1
425,1
9023,1
11544,1
17710,1
59387,1
10996,1
11243,1
19975,1
129,1
15173,1
19953,1
12477,1
41394,1
13376,1
9016,1
14317,1
8392,1
16225,1
10150,1
14873,1
13691,1
11299,1
10515,1
33875,1
12,1
32328,1
20694,1
14411,1
33320,1
9662,1
14282,1
10009,1
10715,1
36068,1
81,1
20043,1
24034,1
14239,1
22561,1
13700,1
19016,1
31112,1
28476,1
14258,1
823,1
21375,1
15371,1
809,1
8920,1
33441,1
21793,1
11572,1
21386,1
13398,1
35780,1
25361,1
11052,1
10555,1
3989,1
36616,1
9806,1
5255,1
11836,1
13187,1
11047,1
9929,1
9385,1
1362,1
47542,1
14087,1
21356,1
8868,1
62429,1
9318,1
17421,1
14571,1
15080,1
11621,1
8983,1
18837,1
37797,1
12613,1
9732,1
15805,1
17074,1
18491,1
21348,1
54491,1
15653,1
16234,1
19738,1
44756,1
11430,1
55931,1
12140,1
15370,1
15990,1
22537,1
11049,1
3509,1
16220,1
11633,1
4935,1
8953,1
13682,1
27042,1
9928,1
33539,1
16198,1
15283,1
21131,1
49565,1
32085,1
30863,1
9463,1
10837,1
21290,1
14175,1
65215,1
3933,1
647,1
533,1
31718,1
19354,1
9982,1
13925,1
37910,1
10982,1
9975,1
14609,1
950,1
9389,1
39045,1
9904,1
7518,1
920,1
59892,1
9513,1
27716,1
9297,1
9906,1
9907,1
21712,1
15374,1
15213,1
15997,1
7484,1
43071,1
11619,1
21057,1
9836,1
12924,1
30060,1
5393,1
9992,1
2062,1
23544,1
13517,1
48215,1
8965,1
1273,1
1267,1
13377,1
14945,1
13158,1
37933,1
4977,1
19947,1
810,1
9408,1
10857,1
35,1
22779,1
13754,1
2011,1
12646,1
5559,1
19026,1
2310,1
6477,1
7249,1
25078,1
14069,1
27357,1
12222,1
15511,1
10797,1
14011,1
29004,1
9502,1
10681,1
12889,1
13205,1
13675,1
13353,1
11802,1
18846,1
10898,1
13851,1
12180,1
8885,1
37776,1
15981,1
13253,1
10527,1
13053,1
14248,1
13394,1
14447,1
20542,1
13980,1
38142,1
12429,1
13690,1
10199,1
15227,1
16137,1
14836,1
15060,1
70089,1
14711,1
20421,1
15854,1
15512,1
20529,1
21832,1
14160,1
14003,1
11693,1
19508,1
8355,1
24232,1
50201,1
16226,1
16440,1
37021,1
18901,1
15137,1
37047,1
12244,1
17445,1
20715,1
22794,1
16873,1
90056,1
126597,1
36800,1
104275,1
23127,1
44685,1
33857,1
24238,1
19035,1
56619,1
53985,1
44338,1
16577,1
10315,1
54648,1
17979,1
24480,1
37060,1
34003,1
25472,1
153118,1
267523,1
15400,1
16866,1
10198,1
14704,1
23398,1
14173,1
10800,1
13382,1
21453,1
31156,1
42137,1
19311,1
26963,1
40623,1
59719,1
10191,1
22582,1
51330,1
109572,1
13417,1
49131,1
33427,1
21036,1
15877,1
31261,1
14518,1
36736,1
10193,1
45974,1
10192,1
16023,1
20352,1
40662,1
20007,1
28609,1
47670,1
9761,1
45162,1
41216,1
45745,1
10378,1
17031,1
41201,1
14088,1
45336,1
38055,1
33600,1
49953,1
48466,1
38757,1
48486,1
13246,1
1361,1
51739,1
41515,1
42001,1
90272,1
15993,1
40619,1
48752,1
22843,1
60213,1
56590,1
45772,1
44896,1
28874,1
14903,1
60290,1
60221,1
36540,1
50321,1
22620,1
20722,1
72185,1
18143,1
24926,1
13413,1
13190,1
50359,1
46195,1
52032,1
42521,1
47310,1
51170,1
49444,1
13378,1
108213,1
49013,1
60897,1
44480,1
51162,1
13931,1
41513,1
12819,1
35257,1
71689,1
47182,1
147105,1
69735,1
17578,1
19034,1
80607,1
28118,1
11625,1
9369,1
9642,1
65759,1
51052,1
55301,1
41066,1
50393,1
63498,1
31309,1
36865,1
58704,1
15167,1
77459,1
98096,1
52264,1
79707,1
73723,1
20683,1
37928,1
35435,1
44734,1
76346,1
31967,1
200157,1
28500,1
72197,1
103269,1
13640,1
80321,1
39144,1
39145,1
22855,1
55215,1
56191,1
116776,1
39100,1
62177,1
13313,1
39101,1
13761,1
13042,1
13932,1
13062,1
13933,1
13927,1
39103,1
24752,1
39104,1
34433,1
39105,1
57800,1
25913,1
13926,1
13929,1
44251,1
50388,1
39106,1
39107,1
13928,1
13930,1
39108,1
39323,1
39324,1
18095,1
58159,1
13676,1
77174,1
14128,1
67166,1
26505,1
17165,1
62214,1
76492,1
35253,1
57089,1
