id_peli,id_franq
862,1
863,1
10193,1
15602,2
11520,2
11862,3
11846,3
710,4
714,4
707,4
658,4
657,4
646,4
699,4
709,4
253,4
660,4
36643,4
668,4
691,4
698,4
682,4
681,4
708,4
12208,4
36669,4
667,4
700,4
36670,4
36557,4
10764,4
37724,4
206647,4
21032,5
25913,5
34942,5
9273,6
3049,6
15338,6
8012,7
4551,7
9598,8
9447,8
9312,9
9823,9
10530,10
13761,10
11525,11
10163,11
10634,12
10471,12
10426,12
755,13
10213,13
12095,13
9102,14
14853,14
10874,15
10437,15
10208,15
11176,15
11899,15
64328,15
145220,15
27793,16
34584,16
34636,16
9737,17
8961,17
414,18
268,18
364,18
415,18
5894,19
10149,19
8839,20
39345,20
5833,20
39346,20
8068,21
9367,21
1428,21
1572,22
562,22
1573,22
1571,22
47964,22
13552,23
1811,23
33560,23
9073,24
1634,24
18519,24
9070,25
6499,25
1642,26
9834,26
11980,27
9033,27
9011,27
37529,27
10802,28
9348,29
10216,29
15212,29
9711,29
3512,30
8845,30
50797,31
38318,31
76,32
80,32
132344,32
2292,33
2295,33
8467,34
10152,34
100042,34
15789,35
15653,35
628,36
11979,36
11,37
1891,37
1892,37
1893,37
1894,37
1895,37
140607,37
330459,37
63105,38
60173,38
107096,38
24230,38
527,39
18220,40
9264,40
18222,40
18223,40
110,41
108,41
109,41
22586,42
28302,42
141102,42
11395,43
9021,43
13767,43
9059,44
9431,44
38939,44
53868,44
41235,44
193,45
199,45
200,45
201,45
9331,46
1669,46
9869,46
4614,46
137094,46
9495,47
10546,47
9456,47
16456,47
888,48
889,48
8587,49
9732,49
11430,49
359983,49
11596,50
377,50
10014,50
10072,50
10131,50
10160,50
11284,50
23437,50
854,51
10214,51
36593,52
37136,52
37137,52
11011,53
1637,54
1639,54
8831,55
18051,55
11667,56
15268,56
75555,57
8011,58
8009,58
12211,58
8010,58
13360,58
2758,59
2907,59
11508,59
9409,60
10859,60
306,61
96,61
90,61
11310,62
1406,62
24257,63
21,63
5503,64
11808,64
2019,65
402331,65
9255,66
9595,66
16097,67
16094,67
16096,67
42354,67
329,68
330,68
331,68
135397,68
11231,69
1885,69
8856,69
10495,69
5550,70
5548,70
5549,70
97020,70
11236,71
29941,71
8850,72
105073,72
78,73
9066,74
12606,74
771,75
9714,75
772,75
12536,75
134375,75
812,76
11238,76
15969,76
280,77
218,77
296,77
534,77
87101,77
274,78
9740,78
11454,78
9533,78
1248,78
10020,79
13313,79
10824,80
9529,80
12485,80
25059,81
6878,81
11827,82
16225,82
8766,83
9003,83
9064,83
11569,83
12597,83
11246,83
17455,83
12699,83
70584,83
348191,83
19042,84
11497,84
51985,84
954,85
955,85
956,85
56292,85
177677,85
8840,86
10473,86
300803,86
451644,86
25087,87
11690,87
36692,87
36693,87
5801,88
896,88
897,88
8072,89
20762,90
29812,90
54782,90
11687,91
56715,91
10353,91
248705,91
9323,92
12140,92
14092,92
532,93
531,93
530,93
533,93
14447,93
211798,93
10547,94
19154,94
77771,95
42506,95
58897,95
93164,95
195522,95
215407,95
627,96
180863,96
602,97
47933,97
10545,98
12448,98
9327,99
12107,99
10061,100
1103,100
238,101
240,101
242,101
11134,102
38955,102
9404,102
9056,102
10753,102
11636,102
219572,102
19004,103
12144,103
15997,103
19164,103
19165,103
17337,103
24102,103
25556,103
25587,103
24554,103
24556,103
31933,103
39961,103
339526,103
10987,104
948,104
11281,104
10676,104
11357,104
11361,104
11675,104
11442,104
62,105
4437,105
3529,106
14589,106
14594,106
14590,106
14588,106
14595,106
10331,107
8408,107
923,107
11683,107
13025,107
29426,107
39448,108
10680,109
11164,109
10414,109
18660,110
22328,110
35115,111
50717,111
14821,112
14822,112
34075,112
14136,113
10869,113
12129,113
14140,113
11451,113
32643,113
19186,114
51881,114
64183,114
15944,115
15943,115
11224,116
14128,116
16119,116
15947,117
14906,117
10948,118
9948,118
11229,119
39927,119
88,120
10677,120
8491,121
8494,121
402,122
3093,122
25750,123
10823,123
25748,123
25749,123
25754,123
25752,123
25751,123
70575,123
25753,123
11843,124
9699,124
936,124
12268,124
1594,124
6081,124
11573,124
46828,124
36576,124
11298,125
29794,125
38500,125
35945,125
36421,125
75623,125
38499,125
4480,126
4481,126
36555,127
32049,127
11455,128
20075,128
20197,128
13612,128
14774,128
12695,128
31609,128
85,129
89,129
87,129
217,129
679,130
348,130
8077,130
8078,130
429,131
391,131
938,131
766,132
765,132
764,132
539,133
10576,133
12662,133
525,134
11568,134
9277,135
36912,135
829,136
32669,136
105,137
165,137
196,137
756,138
49948,138
11314,139
24348,139
21925,139
41671,140
27214,140
52263,140
33519,140
16235,140
11449,140
41848,140
10065,140
335753,140
216016,140
410537,140
203835,140
8851,141
40983,141
229,142
3103,142
3035,142
3077,142
3074,142
7340,143
7341,143
794,144
10766,144
10768,144
17792,144
145,145
452,145
16,145
9279,146
289728,146
17204,147
17208,147
83660,147
11674,148
10481,148
152,149
174,149
172,149
154,149
157,149
168,149
11967,150
9086,150
621,151
9037,151
578,152
579,152
17692,152
580,152
4232,153
4233,153
4234,153
41446,153
34314,154
76171,154
14908,155
54297,155
11419,156
5825,156
11418,156
11153,156
296099,156
10003,157
74545,157
11844,158
11663,158
12664,158
9360,159
11237,159
14863,159
19543,159
816,160
817,160
818,160
49478,161
33660,162
50241,162
77946,162
17991,163
41428,163
52034,163
607,164
608,164
41154,164
9387,165
9626,165
9610,165
10603,166
26264,166
20737,167
21661,167
21518,167
24794,167
20755,167
4961,168
10706,168
33005,168
9437,169
2043,169
94348,169
10351,170
12594,170
28635,170
38157,170
3597,171
3600,171
3602,171
1281,172
1268,172
563,173
10304,173
11127,173
114478,173
42832,174
9922,175
32302,176
16314,176
18885,176
40508,176
617,177
17124,177
37708,177
17644,178
27472,179
11356,179
9771,180
9942,180
11067,180
37410,181
24200,181
283536,181
10674,182
12242,182
846,183
8836,183
3050,184
10808,184
18843,184
19273,184
27996,184
944,185
941,185
942,185
943,185
1051,186
10711,186
1366,187
1367,187
1371,187
1374,187
1375,187
1246,187
312221,187
4488,188
9725,188
9728,188
9730,188
9731,188
10225,188
10281,188
10283,188
11470,188
10285,188
6466,188
13207,188
36599,189
39929,189
41828,189
41769,189
8617,189
10585,190
11186,190
11187,190
11932,190
11249,190
167032,190
609,191
11133,191
10306,191
9552,192
11586,192
11587,192
11026,192
12700,192
927,193
928,193
9342,194
1656,194
18450,194
551,195
31638,195
17984,196
19762,196
3170,197
13205,197
29228,198
24236,198
31654,198
11158,199
9354,199
11425,199
9325,200
14873,200
10340,201
18269,201
10144,202
10898,202
13676,202
12230,203
13654,203
10693,204
16690,204
11135,205
11319,205
2619,206
54107,206
97,207
20526,207
123,208
1362,208
1361,208
15171,209
21250,209
11704,210
20756,210
4978,211
10380,211
31473,211
27653,211
11415,212
37530,212
38084,212
52868,212
8393,213
11937,213
50507,213
39930,214
10692,214
805,215
117258,215
2182,216
15482,216
36896,216
36779,216
36647,217
36586,217
36648,217
431,218
437,218
438,218
2109,219
5175,219
5174,219
9877,220
12212,220
10292,220
1091,221
60935,221
9945,222
49597,222
4518,223
4517,223
12223,224
137533,224
14444,225
16340,225
20694,225
1678,226
1680,226
1682,226
39462,226
18983,226
38582,226
18627,226
3115,226
19545,226
39464,226
19333,226
1679,226
3107,226
15766,226
19336,226
39264,226
39256,227
6593,227
18289,227
39465,227
12561,227
36679,227
39466,227
244,228
43149,228
10730,229
31947,229
9749,230
14628,230
9336,231
10157,231
12118,231
10587,231
11825,231
11895,231
11546,231
1369,232
1368,232
1370,232
7555,232
10303,233
9326,233
10328,234
11285,234
6917,235
40729,235
11815,236
38126,236
38125,236
9426,237
10344,237
30497,238
16337,238
25018,238
16780,238
76617,238
300665,238
9671,239
9396,239
9290,239
11873,240
990,240
8224,241
7295,241
8913,242
10906,242
10671,243
27932,243
7227,243
29723,243
33518,244
40800,244
2362,245
10640,245
871,246
1685,246
1705,246
1688,246
1687,246
9535,247
9932,247
796,248
5458,248
5460,248
603,249
604,249
605,249
564,250
1734,250
1735,250
9460,251
15849,252
29242,252
29243,252
31498,252
29239,252
18990,253
39262,253
39263,253
39044,253
1924,254
8536,254
9531,254
11411,254
1452,254
138,255
30793,255
32023,255
22440,255
3076,256
13666,256
27970,256
45322,256
3079,257
3127,257
3117,257
3075,257
3124,257
3104,257
36685,258
27997,258
17918,259
19142,259
37135,260
15657,260
13683,260
2105,261
2770,261
8273,261
71552,261
10239,262
28213,262
37563,262
10241,262
2667,263
11531,263
351211,263
9825,264
336560,264
17038,264
44037,264
135309,264
620,265
2978,265
43074,265
332,266
19766,266
147,267
255,267
258,267
259,267
256,267
9710,268
9838,268
813,269
2665,269
11077,270
28597,270
28601,270
850,271
125504,271
10366,272
9349,272
28510,272
122857,272
27847,272
10704,272
11037,273
11955,273
2038,273
28737,273
91893,274
92332,274
11601,275
34734,275
11797,276
18086,276
10975,277
10974,277
98567,277
9638,278
15158,278
16139,278
16146,278
262848,278
11230,279
12207,279
66018,279
1654,280
36571,280
36572,280
36573,280
5689,281
13888,281
115290,281
65448,282
65452,282
29064,283
30379,283
10496,284
16162,285
146304,285
15247,286
34388,286
4889,286
37237,286
29251,287
294544,287
11377,288
13564,288
18111,289
1694,289
11429,289
16281,290
16288,290
16304,290
24831,291
31646,291
37853,292
14035,293
40771,293
40772,293
40773,293
10228,294
12599,294
10991,294
12600,294
33875,294
115223,294
88557,294
36897,294
36218,294
227679,294
39057,294
25961,294
34067,294
16808,294
47292,294
150213,294
50087,294
303903,294
350499,294
34065,294
20565,295
20561,295
20562,295
13365,295
50754,295
20553,295
116167,295
10402,296
11453,296
25188,297
82545,297
15515,298
17897,298
11940,298
43464,298
10137,299
10996,299
30178,299
14919,300
15805,300
21683,300
2005,301
6279,301
8872,302
8873,302
16562,303
14872,303
15088,303
40080,303
9605,304
35683,304
8374,305
22821,305
25934,306
86040,306
2787,307
2789,307
87421,307
2791,307
2069,308
2122,308
10839,309
10841,309
838,310
33258,310
9532,311
9358,311
9286,311
19912,311
55779,311
13939,312
14373,312
24873,312
26263,312
34746,312
1498,313
1497,313
1499,313
11478,314
8460,314
10594,314
17339,315
10911,315
26879,316
26484,316
39113,316
53617,316
26483,316
27376,316
13665,317
26044,317
12309,318
14503,318
106,319
169,319
34851,319
1359,320
10726,320
10557,321
63943,321
11977,322
18509,322
39283,323
65460,323
55667,323
12476,324
68163,324
16395,325
11906,325
15206,325
5608,326
10560,327
16346,327
402543,327
5683,328
30502,328
347689,328
9285,329
20618,329
8584,330
6038,330
9600,331
11565,331
38322,331
26912,332
26278,332
24580,332
26953,333
26954,333
26956,333
26957,333
26958,333
26959,333
26960,333
26961,333
27651,333
139659,333
23069,334
21299,334
38802,334
44415,334
21137,335
36724,335
10648,336
10651,336
984,336
10649,336
10650,336
10246,337
19698,337
23919,337
26554,338
26230,338
136585,338
207680,338
15239,339
28165,339
28169,339
27601,339
10128,340
81246,340
24047,340
77348,340
81244,340
50291,340
9659,341
8810,341
9355,341
76341,341
10068,342
18167,342
11495,343
19792,343
482,344
479,344
494,344
493,344
9873,345
16820,345
15379,346
12764,346
27352,346
11822,347
48636,347
4247,348
4248,348
4256,348
4257,348
4258,348
36657,349
36658,349
36668,349
49538,349
127585,349
246655,349
9383,350
8997,350
26515,351
35977,351
13567,352
34312,352
35626,352
70553,352
34311,352
20850,353
7392,353
28656,353
28746,353
8843,354
18759,354
10643,355
36243,355
15767,355
39468,355
39469,355
12636,355
11398,356
13988,356
24756,356
1588,357
12540,357
11211,357
21474,357
15261,357
1698,358
10973,359
39408,359
40761,359
10787,360
28421,360
28423,360
28426,360
28425,360
27475,361
27764,361
27767,361
40760,362
40446,362
20455,363
1597,364
693,364
39451,364
21142,365
78140,365
44695,365
83980,365
18498,366
28605,366
44909,366
30654,366
4327,367
9471,367
146,368
263341,368
11849,369
9288,369
135858,369
10673,370
33909,370
11688,371
13417,371
1493,372
10040,372
10577,373
10578,373
10579,373
15739,374
21780,374
9816,375
9817,375
19933,376
20377,376
20378,376
18935,377
26386,377
18943,377
32685,377
34600,377
39128,377
34300,377
20551,377
39129,377
1547,378
13489,378
46812,378
10019,379
34376,379
37302,380
29229,380
38828,380
843,381
18311,381
844,381
19405,382
43332,383
29912,383
17965,384
18250,384
14052,385
16889,385
18543,385
21029,385
23730,386
53150,386
10054,387
9488,387
12279,387
56288,387
634,388
9801,388
95610,388
10956,389
335970,389
808,390
809,390
810,390
10192,390
48466,390
41050,391
5165,391
21135,391
966,392
12639,392
12625,392
43417,392
10865,393
8965,393
1995,394
1996,394
9799,395
584,395
9615,395
13804,395
51497,395
82992,395
168259,395
337339,395
60670,396
60672,396
10992,397
39691,397
24382,398
33954,398
36236,398
56122,398
45099,398
58404,398
55960,398
63178,398
80374,398
51912,398
56920,398
58701,398
60061,398
60193,398
75532,398
71995,398
62034,398
58074,398
56068,398
66177,398
58007,398
56544,398
74384,398
64043,398
71133,398
57996,398
63179,398
11286,399
11950,399
12236,399
26573,400
77076,400
2114,401
647,401
13274,401
390734,401
8835,402
10327,402
16985,402
3980,403
10127,403
12702,403
12525,403
5680,404
24929,405
10925,405
28260,405
24935,405
24939,405
13965,406
24266,406
11966,407
2605,407
29095,408
12500,409
25678,409
25682,409
25684,409
25528,409
1648,410
1649,410
10134,411
16437,411
25391,411
15142,412
