id_prod,productora
268,Chemical Films
269,Spring Creek Productions
270,Hawn / Sylbert Movie Company
271,Butcher's Run Films
272,Lightstorm Entertainment
273,Beta Film
274,Madeleine Films
275,Parc Film
276,Société Française de Production (SFP)
277,FIT Productions
278,Seagal/Nasso Productions
279,Victor Company of Japan (JVC)
280,Cutting Edge Films
281,Zucker Brothers Productions
282,Gordon Company
283,Davis Entertainment
284,Licht/Mueller Film Corporation
285,HBO
286,A BandApart
287,Studio Trite
288,Caméra One
289,PolyGram Audiovisuel
290,Detour Film Production
291,Jack Giarraputo Productions
292,Spelling Films International
293,Hera Productions
294,Island World
295,Full Moon Entertainment
296,Lantana
297,Price Entertainment
298,American Zoetrope
299,Baltimore Pictures
300,Keystone Pictures
301,Dream Man Productions Inc
302,Capitol Films
303,Flach Film
304,Les Films de l'Astre
305,Ang Lee Productions
306,Good Machine
307,Central Motion Pictures
308,Alliance Entertainment
309,Ego Film Arts
310,Prufrock Pictures
311,Metro-Goldwyn-Mayer
312,Italian International Film
313,Stéphan Films
314,MG
315,Kartemquin Films
316,WingNut Films
317,New Zealand Film Commission
318,Fontana Productions
319,Majestic Films International
320,Bregman/Baer Productions
321,Geffen Pictures
322,Northern Lights Entertainment
323,Fountainbridge Films
324,Lee Rich Productions
325,Trimark Pictures
326,Lucasfilm
327,Parallax Pictures
328,MK2 Productions
329,Aviacsa
330,Cinevista
331,Bedford Falls Productions
332,Pangaea
333,Live Entertainment
334,Cineville
335,Home Box Office (HBO)
336,Showcase Entertaiment Inc.
337,Samuel Goldwyn Company
338,Close Call Films
339,Newcomb Productions
340,Wolper Organization
341,Capella International
342,Cinehaus
343,TOEI
344,Distant Justice Joint Venture
345,Metrodome Films
346,Filmwerks
347,Ixtlan
348,J D Productions
349,Avalon Studios
350,New Zealand On Air
351,CineTel Pictures
352,MG Entertainment
353,Kopelson Entertainment
354,Punch Productions
355,Arnold Kopelson Productions
356,Gaumont
357,Gramercy Pictures (I)
358,MVP Films
359,Wildwood Enterprises
360,Cecile Company
361,Thousand Cranes Filmworks
362,ARD/Degeto Film GmbH
363,D.A. Films
364,France2 Cinéma
365,WMG Film
366,N.E.F. Filmproduktion und Vertriebs GmbH
367,RCS Films & TV
368,Nomura Babcock & Brown
369,Zespół Filmowy TOR
370,Télévision Suisse-Romande
371,CED Productions
372,Norstar Entertainment
373,west wind entertainment
374,Rich Animation Studios
375,Jones Entertainment Group
376,Skerry Productions
377,Jerry Weintraub Productions
378,Iguana Producciones
379,Centropolis Entertainment
380,Carolco Entertainment
381,Figment Films
382,The Glasgow Film Fund
383,Kino Korsakoff
384,Tabasco films
385,Instituto Mexicano de Cinematografía (IMCINE)
386,TeleMadrid
387,1992 Number Four Limited Partnership
388,MHA
389,Shanghai Film Studios
390,Era International Ltd
391,Trilogy Entertainment Group
392,Tales From The Crypt Holdings
393,Sony Pictures Classics
394,Populist Pictures
395,"Jackson/McHenry Company,The"
396,First Generation Films
397,British Columbia Film Commission
398,Ciby 2000
399,Film Victoria
400,House & Moorhouse Films
401,Beacon Pictures
402,R.P. Productions
403,Les Films Alain Sarde
404,Timothy Burrill Productions
405,Mace Neufeld Productions
406,Crowvision Inc.
407,Entertainment Media Investment Corporation
408,Jeff Most Productions
409,Edward R. Pressman Film
410,Aleor Films
411,Hanna-Barbera Productions
412,New Deal Productions
413,Think Again Productions
414,Riot of Color
415,Arte
416,Nomad Films
417,Omega Film GmbH
418,Without Walls
419,Dark Horse Entertainment
420,Propaganda Films
421,David Foster Productions
422,Turman-Foster Company
423,Renaissance Pictures
424,Signature Pictures
425,JVC Entertainment Networks
426,Tig Productions
427,Kasdan Pictures
428,Paragon Entertainment Corp.
429,Tool Shed Productions
430,Little Bird
431,Strand Releasing
432,Strand Home Video
433,Eve Productions Inc.
434,Bolex Brothers
435,Lumen Films
436,Tara
437,Capcom
438,Snowback Productions
439,Bates Entertainmant
440,A-Pix Entertainment
441,Devin Entertainment
442,Theodore Thomas Productions
443,Overseas FilmGroup
444,Skyline Entertainment Partners
445,Arrow
446,Frozen Rope Productions Inc.
447,Trans-Film
448,Initial Groupe
449,Fallingcloud
450,Orion Pictures
451,HBO Independent Productions
452,NBB Unit One Film Partners
453,Longview Entertainment
454,"Ruddy Morgan Organization, The"
455,Barcelona Films
456,Enigma Productions
457,BSB
458,NatWest Ventures
459,Fujisankei
460,Eddie Murphy Productions
461,Orion Pictures Corporation
462,Heathrow Productions
463,Dorset Productions
464,Robert H. Solo Productions
465,Mainline Pictures
466,HBO Films
467,Parkway Productions
468,Epic Productions
469,RCS Video
470,Cliffhanger Productions
471,Pioneer
472,Maverick Picture Company
473,Cecchi Gori Europa N.V.
474,Eye Productions
475,Pentamerica
476,Alphaville Productions
477,Beijing Film Studio
478,China Film Co-Production Corporation
479,Nelson Entertainment
480,Mirage
481,Universal Studios
482,Canal Plus
483,Can I Watch
484,Islet
485,KPVI
486,Sidley Wright & Associates
487,Spelling Entertainment
488,IRS Media
489,Republic Pictures (II)
490,Det Danske Filminstitut
491,Costa do Castelo Filmes
492,Neue Constantin Film
493,House of Spirits Film
494,PolyGram Filmproduktion
495,Hell's Kitchen Films
496,Kouf/Bigelow Productions
497,Oak Productions
498,Nelvana Limited
499,Argos Films
500,Oshima Productions
501,Shibata Organisation
502,Renaissance Films
503,American Playhouse Theatrical Films
504,Rastar Films
505,Night Life Inc.
506,Blue Wolf
507,Thin Man Films
508,Pacific Western
509,Allied Filmmakers
510,Platinum Pictures
511,Mikado Film
512,Lenfilm Studio
513,Adventure Pictures
514,Clinica Estetico
515,New South Wales Film & Television Office
516,The Australian Film Commission
517,Jan Chapman Productions
