id_gen,genero
1,Animation
2,Comedy
3,Family
4,Adventure
5,Fantasy
6,Romance
7,Drama
8,Action
9,Crime
10,Thriller
11,Horror
12,History
13,Science Fiction
14,Mystery
15,War
16,Music
17,Documentary
18,Foreign
19,Western
20,TV Movie
